Dates,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,DD,Delhi,DNH,DVC,Essar steel,Goa,Gujarat,Haryana,HP,J&K,Jharkhand,Karnataka,Kerala,Maharashtra,Manipur,Meghalaya,Mizoram,MP,Nagaland,Odisha,Pondy,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,UP,Uttarakhand,West Bengal,Total Consumption
2014-01-01,247.4,1.5,21.0,36.6,3.8,64.4,5.0,64.9,13.5,59.3,6.0,8.1,231.1,98.3,24.7,28.6,21.6,171.7,57.1,353.1,1.5,5.4,1.2,162.0,1.5,67.5,5.5,91.5,175.6,1.7,245.3,127.0,2.9,219.2,31.7,102.0,2759.2
2014-01-02,253.0,1.7,21.7,40.5,3.8,64.2,5.3,65.0,13.8,57.9,6.0,8.4,237.5,104.6,25.0,38.4,21.4,174.6,57.7,361.7,1.7,4.9,1.2,173.4,1.6,64.4,5.7,92.4,189.0,1.7,247.7,127.7,2.9,214.9,33.0,101.4,2825.8
2014-01-03,256.1,1.7,21.1,39.3,3.9,63.7,5.7,67.2,14.9,58.7,7.4,7.9,241.8,113.2,25.7,43.3,21.4,179.9,58.4,357.7,1.8,4.9,1.2,176.4,1.6,63.7,5.9,94.7,196.0,1.7,253.8,124.8,3.3,227.2,33.6,101.5,2881.1000000000004
2014-01-04,252.6,1.7,21.1,40.3,3.7,63.4,5.8,63.5,15.2,60.0,7.7,8.0,242.2,110.7,26.0,37.4,21.0,177.2,58.8,365.0,1.5,5.3,1.2,176.0,1.6,66.3,5.8,96.8,189.0,1.3,252.2,129.4,2.5,229.2,34.1,118.5,2891.9999999999995
2014-01-05,138.3,1.7,20.5,50.4,4.0,64.2,5.5,65.4,15.2,54.2,6.4,7.6,251.1,114.7,25.6,43.0,20.4,176.1,59.3,341.9,1.8,5.6,1.2,128.1,1.6,62.4,5.8,89.5,204.5,1.4,245.6,123.8,2.5,223.2,33.1,103.4,2699.0
2014-01-06,138.8,1.6,21.3,51.3,4.3,64.7,5.6,66.4,15.1,53.3,6.8,7.8,257.6,119.5,25.7,42.1,20.3,179.1,60.9,353.3,2.1,5.8,1.2,136.2,1.7,61.9,5.1,94.3,210.6,1.6,251.1,127.6,2.6,228.5,34.6,101.0,2761.4
2014-01-07,137.3,1.8,21.2,50.9,4.1,64.4,5.8,69.7,15.2,55.2,7.2,7.9,253.5,117.4,26.1,43.1,18.9,179.6,61.2,357.6,2.3,4.8,1.2,141.3,1.7,59.7,6.0,95.7,208.6,1.5,255.1,129.2,2.7,229.0,34.6,108.3,2779.8
2014-01-08,138.0,1.7,20.4,49.1,4.2,66.1,5.6,70.7,15.2,55.5,7.5,7.8,255.7,117.5,26.3,43.2,19.2,179.8,61.3,358.6,2.4,6.1,1.2,146.5,1.7,60.4,6.2,96.3,209.4,1.7,256.2,131.9,2.6,226.8,35.4,109.3,2797.500000000001
2014-01-09,135.2,1.7,21.4,51.1,4.3,65.9,5.6,65.2,14.9,54.1,7.4,7.7,260.4,122.8,25.8,43.5,20.7,180.4,61.2,351.5,2.3,5.2,1.3,150.6,1.8,62.6,6.2,96.0,212.7,1.9,260.3,135.0,2.7,237.6,36.0,112.5,2825.4999999999995
2014-01-10,135.9,1.8,21.1,54.0,4.2,68.5,5.0,67.0,15.1,55.1,8.0,7.6,260.4,118.3,26.0,43.2,21.0,180.8,60.8,353.5,2.0,5.5,1.3,156.1,1.7,59.7,6.0,95.3,214.7,1.7,262.4,130.0,2.9,238.0,36.4,112.1,2833.1
2014-01-11,131.1,1.8,20.9,54.1,3.9,62.9,5.4,64.7,14.8,54.7,7.5,6.8,253.8,111.3,23.7,42.4,22.1,168.0,53.6,348.1,2.2,4.8,1.2,161.0,1.7,59.4,5.5,92.5,214.6,1.2,248.1,132.0,2.6,237.9,35.2,108.8,2760.3
2014-01-12,132.7,1.8,20.2,52.8,4.4,67.8,5.6,70.2,15.1,55.0,6.3,7.6,258.9,115.4,24.9,42.6,21.5,174.6,57.0,358.6,2.1,5.5,1.2,168.2,1.7,62.3,5.6,95.3,202.3,1.7,251.1,130.9,2.6,241.6,36.2,110.9,2812.2
2014-01-13,137.0,1.7,19.1,55.1,4.1,68.1,5.8,70.3,15.2,57.0,7.6,7.1,257.4,114.1,24.5,44.6,22.8,178.3,57.1,364.0,2.2,5.6,1.2,172.0,1.7,62.7,5.8,90.2,209.3,1.6,253.3,126.3,2.9,241.5,35.9,111.3,2834.4000000000005
2014-01-14,134.4,1.8,20.9,54.7,4.2,67.6,5.0,72.8,14.4,57.3,7.1,8.0,206.7,111.8,24.3,43.5,22.4,179.8,57.6,364.5,2.3,5.8,1.2,168.2,1.5,59.9,5.8,81.0,203.6,1.4,250.7,124.8,2.7,238.6,36.9,105.9,2749.1
2014-01-15,127.4,1.7,19.1,53.2,4.0,68.7,5.3,70.4,14.6,56.9,7.2,7.6,221.3,114.1,24.1,42.3,21.8,174.1,58.3,367.4,2.3,5.2,1.1,172.8,1.7,61.8,4.9,87.3,205.1,1.3,221.9,118.0,3.0,230.7,36.0,107.7,2720.3
2014-01-16,125.2,1.7,21.2,54.6,4.0,66.4,5.5,70.7,14.9,55.7,7.3,7.6,247.9,114.4,25.2,42.8,20.7,176.4,58.4,363.3,2.3,4.9,1.2,174.2,1.8,63.8,4.5,88.4,210.3,1.9,206.2,121.7,2.8,234.5,36.4,106.3,2745.1000000000004
2014-01-17,128.7,1.7,22.0,54.7,3.8,65.6,5.4,66.1,14.8,58.9,8.0,7.4,255.5,112.9,25.0,42.2,20.5,179.5,58.8,365.8,2.3,5.6,1.2,178.0,2.3,62.8,4.5,90.0,209.5,1.6,215.9,124.1,3.1,234.5,36.8,109.1,2778.5999999999995
2014-01-18,127.6,1.6,20.3,56.2,3.5,65.9,5.3,63.1,15.1,56.6,7.4,6.5,250.0,105.0,23.2,42.6,20.9,174.0,55.0,359.6,2.3,5.2,1.2,179.8,2.3,62.6,4.7,85.9,207.7,1.4,224.5,123.4,2.6,236.6,35.1,106.6,2741.3
